	2844
1993_THRILLER	2
1994_	1
1994_ADVENTURE	1
1994_ANIMATION	1
1994_COMEDY	9
1994_CRIME	4
1994_DOCUMENTARY	12
1994_DRAMA	14
1994_FAMILY	1
1994_FANTASY	2
1994_HISTORY	1
1994_MUSIC	5
1994_MYSTERY	1
1994_ROMANCE	4
1994_SHORT	1
1994_SPORT	2
1994_THRILLER	1
1994_WAR	2
1995_ACTION	3
1995_ADVENTURE	2
1995_ANIMATION	3
1995_BIOGRAPHY	2
1995_COMEDY	5
1995_CRIME	5
1995_DOCUMENTARY	3
1995_DRAMA	15
1995_HISTORY	2
1995_MUSICAL	1
1995_MYSTERY	2
1995_ROMANCE	2
1995_SCI-FI	2
1995_SHORT	2
1995_THRILLER	5
1995_WAR	1
1996_ANIMATION	1
1996_BIOGRAPHY	1
1996_COMEDY	4
1996_CRIME	4
1996_DOCUMENTARY	8
1996_DRAMA	6
1996_FAMILY	1
1996_HISTORY	2
1996_MUSIC	2
1996_MYSTERY	2
1996_ROMANCE	1
1996_THRILLER	3
1996_WAR	1
1997_ACTION	1
1997_ADVENTURE	2
1997_ANIMATION	3
1997_BIOGRAPHY	3
1997_COMEDY	3
1997_CRIME	1
1997_DOCUMENTARY	6
1997_DRAMA	14
1997_FAMILY	2
1997_FANTASY	2
1997_HISTORY	2
1997_MYSTERY	1
1997_ROMANCE	2
1997_WAR	3
1998_ACTION	3
1998_ADVENTURE	1
1998_ANIMATION	1
1998_BIOGRAPHY	5
1998_COMEDY	9
1998_CRIME	8
1998_DOCUMENTARY	8
1998_DRAMA	13
1998_HISTORY	1
1998_MUSIC	6
1998_ROMANCE	2
1998_SCI-FI	1
1998_SHORT	1
1998_SPORT	2
1998_WAR	3
1999_ACTION	5
1999_ADVENTURE	5
1999_ANIMATION	4
1999_COMEDY	6
1999_CRIME	2
1999_DOCUMENTARY	5
1999_DRAMA	11
1999_FAMILY	2
1999_FANTASY	1
1999_HISTORY	1
1999_MUSIC	4
1999_MUSICAL	1
1999_MYSTERY	2
1999_ROMANCE	2
1999_SCI-FI	1
1999_SHORT	1
1999_THRILLER	2
2000_ACTION	2
2000_ADVENTURE	2
2000_ANIMATION	5
2000_BIOGRAPHY	3
2000_COMEDY	10
2000_CRIME	2
2000_DOCUMENTARY	9
2000_DRAMA	13
2000_FAMILY	1
2000_HISTORY	1
2000_MUSIC	3
2000_MUSICAL	2
2000_MYSTERY	1
2000_ROMANCE	7
2000_SHORT	2
2000_THRILLER	2
2000_WAR	2
2001_ACTION	1
2001_ADVENTURE	3
2001_ANIMATION	4
2001_BIOGRAPHY	2
2001_COMEDY	6
2001_CRIME	1
2001_DOCUMENTARY	17
2001_DRAMA	7
2001_FAMILY	2
2001_FANTASY	1
2001_HISTORY	3
2001_MUSIC	5
2001_ROMANCE	3
2001_SCI-FI	1
2001_SPORT	1
2002_ACTION	1
2002_ADVENTURE	1
2002_ANIMATION	2
2002_BIOGRAPHY	2
2002_COMEDY	9
2002_CRIME	4
2002_DOCUMENTARY	10
2002_DRAMA	13
2002_FANTASY	1
2002_HISTORY	2
2002_MUSIC	4
2002_MYSTERY	1
2002_ROMANCE	2
2002_SHORT	1
2002_THRILLER	2
2002_WAR	2
2003_ACTION	4
2003_ADVENTURE	8
2003_ANIMATION	1
2003_COMEDY	6
2003_CRIME	5
2003_DOCUMENTARY	17
2003_DRAMA	20
2003_FANTASY	4
2003_HISTORY	2
2003_MUSIC	5
2003_MYSTERY	4
2003_ROMANCE	3
2003_THRILLER	3
2003_WAR	3
2004_ACTION	3
2004_ADVENTURE	3
2004_ANIMATION	3
2004_BIOGRAPHY	5
2004_COMEDY	9
2004_CRIME	3
2004_DOCUMENTARY	18
2004_DRAMA	20
2004_FAMILY	1
2004_FANTASY	1
2004_HISTORY	3
2004_HORROR	2
2004_MUSIC	3
2004_ROMANCE	8
2004_SCI-FI	1
2004_SHORT	1
2004_SPORT	3
2004_WAR	6
2005_ACTION	5
2005_ADVENTURE	3
2005_ANIMATION	2
2005_BIOGRAPHY	4
2005_COMEDY	7
2005_CRIME	1
2005_DOCUMENTARY	23
2005_DRAMA	13
2005_HISTORY	4
2005_HORROR	1
2005_MUSIC	2
2005_MUSICAL	1
2005_THRILLER	3
2005_WAR	2
2005_WESTERN	1
2006_	1
2006_ACTION	6
2006_ADVENTURE	1
2006_ANIMATION	7
2006_BIOGRAPHY	1
2006_COMEDY	12
2006_CRIME	5
2006_DOCUMENTARY	15
2006_DRAMA	14
2006_FANTASY	5
2006_HISTORY	3
2006_MUSIC	1
2006_MUSICAL	1
2006_MYSTERY	3
2006_ROMANCE	3
2006_SHORT	4
2006_THRILLER	3
2006_WAR	1
2007_ACTION	3
2007_ADVENTURE	1
2007_ANIMATION	1
2007_BIOGRAPHY	3
2007_COMEDY	9
2007_CRIME	4
2007_DOCUMENTARY	29
2007_DRAMA	13
2007_FAMILY	4
2007_HISTORY	3
2007_HORROR	1
2007_MUSIC	10
2007_MUSICAL	1
2007_MYSTERY	1
2007_ROMANCE	3
2007_SCI-FI	2
2007_SHORT	4
2007_SPORT	3
2007_THRILLER	4
2007_WAR	2
2008_ACTION	3
2008_ADVENTURE	1
2008_ANIMATION	8
2008_BIOGRAPHY	6
2008_COMEDY	12
2008_CRIME	4
2008_DOCUMENTARY	26
2008_DRAMA	17
2008_FAMILY	2
2008_FANTASY	1
2008_HISTORY	5
2008_MUSIC	7
2008_MUSICAL	1
2008_MYSTERY	3
2008_ROMANCE	3
2008_SCI-FI	1
2008_SHORT	6
2008_WAR	3
2009_	1
2009_ACTION	2
2009_ADVENTURE	3
2009_ANIMATION	4
2009_BIOGRAPHY	3
2009_COMEDY	15
2009_CRIME	2
2009_DOCUMENTARY	18
2009_DRAMA	21
2009_FAMILY	2
2009_HISTORY	1
2009_MUSIC	2
2009_MUSICAL	1
2009_MYSTERY	2
2009_ROMANCE	4
2009_SCI-FI	1
2009_SHORT	2
2009_SPORT	1
2009_THRILLER	3
2009_WAR	2
2010_ACTION	4
2010_ADVENTURE	5
2010_ANIMATION	5
2010_BIOGRAPHY	5
2010_COMEDY	10
2010_CRIME	2
2010_DOCUMENTARY	25
2010_DRAMA	13
2010_FAMILY	1
2010_HISTORY	5
2010_HORROR	1
2010_MUSIC	2
2010_MUSICAL	2
2010_MYSTERY	3
2010_NEWS	1
2010_ROMANCE	1
2010_SCI-FI	1
2010_SHORT	3
2010_SPORT	3
2010_THRILLER	1
2010_WAR	3
2011_	1
2011_ADVENTURE	3
2011_ANIMATION	1
2011_BIOGRAPHY	4
2011_COMEDY	4
2011_DOCUMENTARY	28
2011_DRAMA	11
2011_FAMILY	3
2011_FANTASY	1
2011_HISTORY	3
2011_MUSIC	8
2011_MUSICAL	1
2011_ROMANCE	1
2011_SHORT	2
2011_SPORT	3
2012_ACTION	5
2012_ADVENTURE	3
2012_ANIMATION	5
2012_BIOGRAPHY	8
2012_COMEDY	11
2012_CRIME	6
2012_DOCUMENTARY	30
2012_DRAMA	19
2012_FAMILY	3
2012_HISTORY	7
2012_HORROR	1
2012_MUSIC	7
2012_MUSICAL	1
2012_MYSTERY	2
2012_ROMANCE	3
2012_SCI-FI	3
2012_SHORT	5
2012_SPORT	2
2012_TALK-SHOW	1
2012_THRILLER	3
2012_WESTERN	2
2013_	1
2013_ACTION	5
2013_ADVENTURE	6
2013_ANIMATION	6
2013_BIOGRAPHY	10
2013_COMEDY	11
2013_CRIME	8
2013_DOCUMENTARY	28
2013_DRAMA	24
2013_FAMILY	1
2013_FANTASY	3
2013_HISTORY	8
2013_MUSIC	3
2013_MUSICAL	2
2013_MYSTERY	3
2013_NEWS	1
2013_ROMANCE	3
2013_SCI-FI	1
2013_SHORT	2
2013_SPORT	3
2013_THRILLER	4
2013_WAR	2
2014_	2
2014_ACTION	7
2014_ADVENTURE	14
2014_ANIMATION	10
2014_BIOGRAPHY	13
2014_COMEDY	29
2014_CRIME	8
2014_DOCUMENTARY	37
2014_DRAMA	46
2014_FAMILY	7
2014_FANTASY	2
2014_HISTORY	9
2014_HORROR	2
2014_MUSIC	4
2014_MUSICAL	1
2014_MYSTERY	6
2014_NEWS	6
2014_ROMANCE	6
2014_SCI-FI	4
2014_SHORT	14
2014_SPORT	2
2014_THRILLER	8
